ticker,company,score,quality_grade,expected_gain_%,analyst_upside_%,hist_win_rate,hist_avg_return_%,hist_trades,rs_vs_spy,rs_vs_sector,sector,csp_signal,csp_reason,risk_flags,action,confidence,rsi,day_%,month_%,revenue_$B,institutional_%,entry,stop_loss,target1,target2,risk_reward,rr_pass,suggested_shares,position_value,covered_call,cash_secured_put
LEGN,Legend Biotech Corporation,55.5,D,101.9,122.0,0.667,6.32,3,15.0,15.5,Healthcare,strong,down -4.9% today; 122% upside to target; historically bounced 67% of 3 similar dips (avg +6.3%),high short interest (16%); negative free cash flow; golden-cross regime; R:R 1.33 below 1.5 floor,Hold,High,36.8,-4.9,-29.0,1.14,,25.75,23.08,29.31,57.17286,1.33,False,93,2394.75,Sell 2026-07-17 $28 call ~$0.22 (80% ann.),Sell 2026-07-17 $25 put ~$0.38 (137% ann.)
HUN,Huntsman Corporation,53.9,D,8.4,21.1,0.5,2.67,2,-26.0,-13.2,Basic Materials,,no meaningful dip today,high short interest (12%); golden-cross regime; R:R 1.33 below 1.5 floor,Hold,Low,43.0,2.7,-23.8,5.69,,11.43,10.45,12.73,13.83333,1.33,False,255,2914.65,Sell 2026-07-17 $12 call ~$0.15 (120% ann.),Sell 2026-07-17 $11 put ~$0.17 (145% ann.)
HTZ,"Hertz Global Holdings, Inc",53.8,F,49.0,140.0,0.5,0.53,10,-82.4,-77.3,Industrials,moderate,down -10.0% today; 140% upside to target; bounce history mixed (50% of 10),high short interest (72%); near 52-week low (support test / falling knife); negative free cash flow; small cap (thinner liquidity); high beta (2.2); R:R 1.30 below 1.5 floor,Hold,Low,20.6,-10.0,-63.4,8.7,,1.85,1.38,2.46,4.42857,1.3,False,531,982.35,Sell 2026-07-17 $2 call ~$0.06 (272% ann.),Sell 2026-07-17 $2 put ~$0.01 (91% ann.)
PIII,P3 Health Partners Inc.,53.5,F,11.9,35.7,0.333,1.85,15,312.4,312.9,Healthcare,,no meaningful dip today,negative free cash flow; golden-cross regime; R:R 1.33 below 1.5 floor,Hold,Low,48.0,5.3,-23.9,1.47,,10.32,8.32,12.98,14.0,1.33,False,125,1290.0,,
IONS,"Ionis Pharmaceuticals, Inc.",52.5,F,22.2,64.3,1.0,14.07,1,-36.7,-36.2,Healthcare,moderate,down -2.6% today; 64% upside to target; limited dip history,high short interest (14%); high leverage (D/E 531%); negative free cash flow; R:R 1.33 below 1.5 floor,Hold,Low,25.5,-2.6,-23.1,1.06,,56.75,51.0,64.41,93.22727,1.33,False,43,2440.25,Sell 2026-07-17 $60 call ~$0.35 (56% ann.),Sell 2026-07-17 $55 put ~$0.55 (91% ann.)
TROX,Tronox Holdings plc,52.4,F,13.7,25.6,0.714,4.6,7,-45.0,-32.2,Basic Materials,,no meaningful dip today,high short interest (22%); negative free cash flow; small cap (thinner liquidity); golden-cross regime; R:R 1.30 below 1.5 floor,Hold,Medium,33.1,-1.5,-21.9,2.92,,6.05,5.39,6.91,7.59375,1.3,False,378,2286.9,Sell 2026-07-17 $7 call ~$0.07 (113% ann.),Sell 2026-07-17 $6 put ~$0.38 (570% ann.)
FUN,Six Flags Entertainment Corpora,52.1,D,15.4,40.1,0.5,-3.27,4,-14.8,-7.3,Consumer Cyclical,,"down -3.5% with upside signals, but history is against it (bounced only 50% of 4 dips)",high short interest (23%); high leverage (D/E 1076%); small cap (thinner liquidity); golden-cross regime; R:R 1.34 below 1.5 floor,Hold,Low,38.5,-3.5,-23.0,3.12,,18.77,16.77,21.45,26.30769,1.34,False,125,2346.25,Sell 2026-07-17 $20 call ~$0.22 (109% ann.),Sell 2026-07-17 $18 put ~$0.17 (91% ann.)
NEGG,"Newegg Commerce, Inc.",51.6,D,,,0.25,-4.62,12,-78.7,-71.2,Consumer Cyclical,,"down -4.6% but no upside signal (below EMA200, <10% target upside)",high short interest (28%); near 52-week low (support test / falling knife); small cap (thinner liquidity); high beta (3.5); R:R 1.33 below 1.5 floor,Hold,Low,25.8,-4.6,-27.5,1.4,,13.5,11.4,16.3,,1.33,False,119,1606.5,,
RDNW,"RideNow Group, Inc.",51.6,F,26.7,51.3,0.8,13.07,10,-19.0,-11.4,Consumer Cyclical,,no meaningful dip today,high short interest (11%); negative free cash flow; small cap (thinner liquidity); golden-cross regime; R:R 1.33 below 1.5 floor,Hold,Medium,32.9,1.2,-23.4,1.1,,5.95,5.26,6.87,9.0,1.33,False,362,2153.9,Sell 2026-07-17 $8 call ~$0.47 (728% ann.),Sell 2026-07-17 $2 put ~$0.03 (91% ann.)
CRCL,"Circle Internet Group, Inc.",51.0,F,36.6,100.5,0.25,-11.03,4,-50.9,-51.2,Financial Services,,"down -4.9% with upside signals, but history is against it (bounced only 25% of 4 dips)",negative free cash flow; R:R 1.33 below 1.5 floor,Hold,Low,36.4,-4.9,-23.8,2.86,,62.92,53.28,75.78,126.16591,1.33,False,25,1573.0,Sell 2026-07-17 $63 call ~$2.41 (349% ann.),Sell 2026-07-17 $62 put ~$2.33 (342% ann.)
AVAV,"AeroVironment, Inc.",49.2,D,28.1,73.2,0.571,0.96,7,-39.1,-34.0,Industrials,strong,down -2.0% today; 73% upside to target; historically bounced 57% of 7 similar dips (avg +1.0%),high short interest (11%); near 52-week low (support test / falling knife); negative free cash flow; R:R 1.33 below 1.5 floor,Hold,Low,39.8,-2.0,-22.9,1.98,,141.68,122.77,166.89,245.3839,1.33,False,13,1841.84,Sell 2026-07-17 $143 call ~$4.15 (267% ann.),Sell 2026-07-17 $141 put ~$4.35 (282% ann.)
CLF,Cleveland-Cliffs Inc.,48.0,F,4.4,12.0,0.5,1.01,6,-10.1,2.7,Basic Materials,,no meaningful dip today,high short interest (14%); negative free cash flow; high beta (2.1); R:R 1.33 below 1.5 floor,Hold,Low,38.0,3.2,-29.2,18.9,,9.7,8.78,10.92,10.86,1.33,False,271,2628.7,Sell 2026-07-17 $10 call ~$0.17 (165% ann.),Sell 2026-07-17 $10 put ~$0.27 (255% ann.)
FLNC,"Fluence Energy, Inc.",47.8,F,8.7,25.9,0.545,1.36,11,-11.6,1.0,Utilities,moderate,down -6.9% today; 26% upside to target; bounce history mixed (55% of 11),high short interest (39%); negative free cash flow; high beta (2.8); golden-cross regime; R:R 1.33 below 1.5 floor,Hold,Low,36.6,-6.9,-38.0,2.58,,15.05,11.64,19.6,18.94118,1.33,False,73,1098.65,Sell 2026-07-17 $16 call ~$0.45 (273% ann.),Sell 2026-07-17 $15 put ~$0.80 (487% ann.)
LUMN,"Lumen Technologies, Inc.",47.8,F,14.1,29.6,0.667,13.49,9,-35.6,-23.3,Communication Services,strong,down -4.4% today; 30% upside to target; historically bounced 67% of 9 similar dips (avg +13.5%),negative free cash flow; golden-cross regime; R:R 1.35 below 1.5 floor,Hold,Medium,29.6,-4.4,-24.2,12.12,,6.43,5.75,7.35,8.34,1.35,False,367,2359.81,Sell 2026-07-17 $6 call ~$0.40 (560% ann.),Sell 2026-07-17 $6 put ~$0.07 (106% ann.)
OPENW,Opendoor Technologies Inc.,47.0,D,,,0.75,7.65,4,-32.6,,,,"down -10.4% but no upside signal (below EMA200, <10% target upside)",high beta (3.6); R:R 1.33 below 1.5 floor,Hold,Medium,42.3,-10.4,-21.7,3.94,,0.42,0.3,0.58,,1.33,False,2083,874.86,,
JELD,"JELD-WEN Holding, Inc.",46.0,F,19.5,60.3,0.417,-3.68,12,-10.1,-5.0,Industrials,,"down -2.1% with upside signals, but history is against it (bounced only 42% of 12 dips)",high short interest (11%); high leverage (D/E 11549%); negative free cash flow; small cap (thinner liquidity); high beta (2.1); R:R 1.40 below 1.5 floor,Hold,Low,35.0,-2.1,-33.8,3.16,,1.18,0.93,1.53,1.9,1.4,False,1000,1180.0,Sell 2026-07-17 $2 call ~$0.10 (770% ann.),Sell 2026-07-17 $1 put ~$0.12 (1141% ann.)
ACDC,ProFrac Holding Corp.,44.7,F,-1.5,-2.7,0.714,14.94,7,-26.3,-16.2,Energy,,no meaningful dip today,trades above analyst target; small cap (thinner liquidity); golden-cross regime; R:R 1.34 below 1.5 floor,Reduce,Medium,41.6,6.3,-26.0,1.79,,5.23,4.55,6.14,5.09,1.34,False,367,1919.41,Sell 2026-07-17 $6 call ~$0.12 (218% ann.),Sell 2026-07-17 $5 put ~$0.25 (456% ann.)
MERC,Mercer International Inc.,43.4,F,24.6,71.7,0.455,3.51,11,-57.1,-44.3,Basic Materials,moderate,down -9.0% today; 72% upside to target; bounce history mixed (46% of 11),near 52-week low (support test / falling knife); negative free cash flow; small cap (thinner liquidity); R:R 1.33 below 1.5 floor,Reduce,Low,33.6,-9.0,-34.6,1.85,,0.58,0.46,0.74,1.0,1.33,False,2083,1208.14,Sell 2026-07-17 $1 call ~$0.05 (784% ann.),
PLAY,"Dave & Buster's Entertainment, ",40.9,F,20.7,69.2,0.571,2.98,7,-36.9,-24.5,Communication Services,strong,down -3.8% today; 69% upside to target; historically bounced 57% of 7 similar dips (avg +3.0%),high short interest (43%); near 52-week low (support test / falling knife); high leverage (D/E 3579%); negative free cash flow; small cap (thinner liquidity); high beta (1.8); R:R 1.33 below 1.5 floor,Reduce,Low,40.4,-3.8,-23.7,2.09,,10.05,8.76,11.77,17.0,1.33,False,193,1939.65,Sell 2026-07-17 $11 call ~$0.12 (113% ann.),Sell 2026-07-17 $10 put ~$0.35 (319% ann.)
TEAD,Teads Holding Co.,39.3,F,15.4,49.1,0.5,-2.75,8,-0.3,12.1,Communication Services,,"down -2.4% with upside signals, but history is against it (bounced only 50% of 8 dips)",high leverage (D/E 1300%); negative free cash flow; small cap (thinner liquidity); golden-cross regime; R:R 1.30 below 1.5 floor,Reduce,Low,38.4,-2.4,-38.1,1.28,,0.81,0.61,1.07,1.2,1.3,False,1249,1011.69,Sell 2026-07-17 $2 call ~$0.05 (567% ann.),
NFE,New Fortress Energy Inc.,36.6,F,12.2,39.4,0.5,9.22,16,-58.5,-48.4,Energy,,no meaningful dip today,high short interest (18%); near 52-week low (support test / falling knife); negative free cash flow; small cap (thinner liquidity); R:R 1.14 below 1.5 floor,Reduce,Low,36.6,1.1,-32.0,1.26,,0.36,0.29,0.44,0.5,1.14,False,3571,1285.56,Sell 2026-07-17 $0 call ~$0.03 (636% ann.),
